,Gender,Age,Country,Education,Major,Profession,Industry,Experience,Annual_Salary,target
16753,Male,18-21,USA,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,"0-10,000",5000
16754,Female,25-29,South America,Master’s degree,"Information technology, networking, or system administration",Data Scientist,Government/Public Service,1-2,"0-10,000",5000
16755,Female,40-44,USA,Doctoral degree,"Information technology, networking, or system administration",Student,Academics/Education,3-4,"10-20,000",15000
16756,Female,22-24,USA,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Business Analyst,Hospitality/Entertainment/Sports,0-1,"60-70,000",65000
16759,Male,25-29,South America,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,0-1,"0-10,000",5000
16760,Male,35-39,China,Master’s degree,"Information technology, networking, or system administration",Data Analyst,Computers/Technology,10-15,"20-30,000",25000
16763,Male,35-39,China,Doctoral degree,Mathematics or statistics,Software Engineer,Computers/Technology,5-10,"40-50,000",45000
16764,Female,35-39,South America,Master’s degree,Mathematics or statistics,Data Analyst,Government/Public Service,5-10,"30-40,000",35000
16765,Male,18-21,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,3-4,"0-10,000",5000
16768,Male,25-29,USA,Doctoral degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Scientist,Government/Public Service,1-2,"90-100,000",95000
16769,Male,18-21,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
16770,Female,30-34,Russia,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Analyst,Marketing/CRM,0-1,"50-60,000",55000
16771,Male,22-24,USA,Master’s degree,Mathematics or statistics,Data Analyst,Other,2-3,"80-90,000",85000
16772,Male,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,5-10,"0-10,000",5000
16773,Male,25-29,China,Doctoral degree,"Information technology, networking, or system administration",Student,I am a student,1-2,"20-30,000",25000
16774,Male,40-44,USA,Doctoral degree,Mathematics or statistics,Data Scientist,Government/Public Service,10-15,"100-125,000",112500
16778,Male,30-34,China,Doctoral degree,Mathematics or statistics,Software Engineer,Computers/Technology,5-10,"30-40,000",35000
16779,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
16780,Female,55-59,USA,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Data Analyst,Other,30 +,"100-125,000",112500
16781,Male,30-34,USA,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Chief Officer,Other,5-10,"0-10,000",5000
16782,Male,25-29,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
16783,Male,25-29,dna,Master’s degree,Mathematics or statistics,Data Analyst,Manufacturing/Fabrication,2-3,"20-30,000",25000
16784,Male,18-21,USA,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Student,I am a student,1-2,"0-10,000",5000
16786,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"10-20,000",15000
16787,Male,18-21,South America,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Business Analyst,Academics/Education,1-2,"0-10,000",5000
16788,Female,40-44,USA,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Chief Officer,Computers/Technology,2-3,"250-300,000",275000
16789,Male,30-34,Other,Master’s degree,"Computer science (software engineering, etc.)",Business Analyst,Computers/Technology,1-2,"0-10,000",5000
16791,Male,40-44,USA,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Other,Computers/Technology,20-25,"90-100,000",95000
16794,Female,30-34,USA,Doctoral degree,Other,Data Analyst,Medical/Pharmaceutical,1-2,"150-200,000",175000
16796,Male,25-29,USA,Master’s degree,Engineering (non-computer focused),Data Analyst,Computers/Technology,2-3,"50-60,000",55000
16797,Male,25-29,Asia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Software Engineer,Computers/Technology,0-1,"20-30,000",25000
16798,Male,25-29,South America,Master’s degree,Engineering (non-computer focused),Data Scientist,Other,0-1,"20-30,000",25000
16800,Male,18-21,USA,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Marketing/CRM,0-1,"70-80,000",75000
16804,Male,35-39,Russia,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Insurance/Risk Assessment,1-2,"10-20,000",15000
16811,Male,30-34,USA,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,4-5,"100-125,000",112500
16813,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"0-10,000",5000
16814,Male,30-34,South America,Doctoral degree,Other,Research Scientist,Academics/Education,3-4,"125-150,000",137500
16817,Male,45-49,USA,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Manufacturing/Fabrication,10-15,"150-200,000",175000
16818,Male,22-24,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,0-1,"0-10,000",5000
16820,Male,30-34,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Business Analyst,Insurance/Risk Assessment,0-1,"40-50,000",45000
16822,Female,35-39,USA,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Online Service/Internet-based Services,0-1,"60-70,000",65000
16823,Male,30-34,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,2-3,"10-20,000",15000
16827,Male,18-21,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"10-20,000",15000
16829,Male,25-29,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,4-5,"100-125,000",112500
16830,Male,22-24,USA,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,1-2,"125-150,000",137500
16831,Male,22-24,India,Master’s degree,Mathematics or statistics,Data Analyst,Computers/Technology,0-1,"300-400,000",350000
16832,Female,22-24,China,Bachelor’s degree,Mathematics or statistics,Data Analyst,Computers/Technology,0-1,"0-10,000",5000
16833,Female,30-34,South America,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Analyst,Broadcasting/Communications,5-10,"10-20,000",15000
16836,Female,25-29,India,Doctoral degree,"Computer science (software engineering, etc.)",Student,Academics/Education,0-1,"0-10,000",5000
16838,Male,18-21,USA,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,Military/Security/Defense,0-1,"0-10,000",5000
16841,Female,25-29,China,Doctoral degree,"Information technology, networking, or system administration",Software Engineer,Online Service/Internet-based Services,2-3,"0-10,000",5000
16843,Male,25-29,USA,Bachelor’s degree,Engineering (non-computer focused),Data Analyst,Computers/Technology,2-3,"100-125,000",112500
16845,Female,22-24,USA,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"70-80,000",75000
16847,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,1-2,"0-10,000",5000
16848,Female,25-29,USA,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Retail/Sales,1-2,"150-200,000",175000
16849,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Broadcasting/Communications,3-4,"10-20,000",15000
16850,Male,30-34,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,5-10,"20-30,000",25000
16854,Male,22-24,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Insurance/Risk Assessment,0-1,"40-50,000",45000
16855,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"20-30,000",25000
16858,Male,50-54,USA,Professional degree,"Computer science (software engineering, etc.)",Principal Investigator,Energy/Mining,20-25,"125-150,000",137500
16859,Male,40-44,Other,Doctoral degree,"Computer science (software engineering, etc.)",Other,Other,4-5,"20-30,000",25000
16861,Male,30-34,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Medical/Pharmaceutical,5-10,"20-30,000",25000
16862,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Business/Internet-based Sales,0-1,"30-40,000",35000
16863,Female,22-24,China,Master’s degree,Mathematics or statistics,Student,I am a student,0-1,"0-10,000",5000
16865,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
16871,Female,30-34,USA,Master’s degree,Engineering (non-computer focused),Data Engineer,Medical/Pharmaceutical,0-1,"0-10,000",5000
16873,Male,25-29,India,Professional degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,1-2,"0-10,000",5000
16876,Male,30-34,Asia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Other,Accounting/Finance,5-10,"10-20,000",15000
16877,Female,35-39,USA,Doctoral degree,Engineering (non-computer focused),Data Scientist,Accounting/Finance,5-10,"150-200,000",175000
16884,Male,25-29,USA,Some college/university study without earning a bachelor’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Student,I am a student,1-2,"0-10,000",5000
16885,Male,25-29,USA,Master’s degree,Environmental science or geology,Other,Computers/Technology,1-2,"100-125,000",112500
16892,Male,25-29,Europe,Master’s degree,"Information technology, networking, or system administration",Software Engineer,Computers/Technology,2-3,"10-20,000",15000
16895,Prefer to self-describe,30-34,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Computers/Technology,1-2,"20-30,000",25000
16897,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,1-2,"30-40,000",35000
16900,Male,25-29,USA,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"250-300,000",275000
16901,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Non-profit/Service,2-3,"10-20,000",15000
16902,Male,30-34,Europe,Professional degree,"Computer science (software engineering, etc.)",Data Scientist,Broadcasting/Communications,4-5,"40-50,000",45000
16903,Male,35-39,USA,Doctoral degree,"Social sciences (anthropology, psychology, sociology, etc.)",Research Scientist,Academics/Education,1-2,"100-125,000",112500
16906,Male,30-34,Asia,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,5-10,"10-20,000",15000
16908,Male,18-21,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,0-1,"0-10,000",5000
16910,Male,22-24,North America,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,4-5,"0-10,000",5000
16911,Male,25-29,South America,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Online Business/Internet-based Sales,0-1,"10-20,000",15000
16912,Male,40-44,China,Master’s degree,"Computer science (software engineering, etc.)",Manager,Computers/Technology,5-10,"200-250,000",225000
16913,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,3-4,"0-10,000",5000
16914,Male,35-39,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,5-10,"30-40,000",35000
16915,Male,30-34,South America,Master’s degree,Engineering (non-computer focused),Data Analyst,Marketing/CRM,0-1,"0-10,000",5000
16916,Male,45-49,North America,Master’s degree,Mathematics or statistics,Data Scientist,Government/Public Service,10-15,"60-70,000",65000
16919,Female,25-29,China,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"0-10,000",5000
16921,Male,18-21,USA,Bachelor’s degree,Mathematics or statistics,Data Scientist,Insurance/Risk Assessment,0-1,"60-70,000",65000
16924,Female,30-34,USA,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Business Analyst,Non-profit/Service,1-2,"50-60,000",55000
16926,Male,45-49,USA,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,15-20,"125-150,000",137500
16927,Male,25-29,USA,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Product/Project Manager,Medical/Pharmaceutical,1-2,"70-80,000",75000
16930,Female,18-21,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
16931,Male,25-29,China,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,3-4,"20-30,000",25000
16935,Male,22-24,USA,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Computers/Technology,0-1,"40-50,000",45000
16936,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,3-4,"10-20,000",15000
16941,Female,25-29,USA,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Research Assistant,Computers/Technology,0-1,"50-60,000",55000
16943,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Data Analyst,Computers/Technology,2-3,"40-50,000",45000
16944,Male,35-39,USA,Master’s degree,"Information technology, networking, or system administration",DBA/Database Engineer,Government/Public Service,1-2,"70-80,000",75000
16945,Male,22-24,Europe,Bachelor’s degree,Physics or astronomy,Research Scientist,Computers/Technology,1-2,"40-50,000",45000
16946,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"90-100,000",95000
16947,Male,35-39,South America,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Government/Public Service,20-25,"100-125,000",112500
16948,Male,18-21,USA,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Research Assistant,I am a student,1-2,"10-20,000",15000
16949,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Business Analyst,Accounting/Finance,0-1,"10-20,000",15000
16950,Male,25-29,USA,Doctoral degree,Mathematics or statistics,Research Assistant,I am a student,2-3,"30-40,000",35000
16951,Male,22-24,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Chief Officer,Computers/Technology,2-3,"20-30,000",25000
16952,Female,30-34,India,Doctoral degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,2-3,"10-20,000",15000
16953,Male,50-54,USA,Master’s degree,Other,Data Scientist,Non-profit/Service,1-2,"100-125,000",112500
16954,Male,60-69,South America,Master’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,30 +,"50-60,000",55000
16959,Male,25-29,China,Master’s degree,Engineering (non-computer focused),Data Engineer,Computers/Technology,1-2,"250-300,000",275000
16960,Male,25-29,USA,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Business Analyst,Academics/Education,1-2,"60-70,000",65000
16961,Male,22-24,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"10-20,000",15000
16970,Male,30-34,India,Bachelor’s degree,"Information technology, networking, or system administration",DBA/Database Engineer,Computers/Technology,5-10,"20-30,000",25000
16974,Male,25-29,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Chief Officer,I am a student,3-4,"0-10,000",5000
16975,Female,22-24,India,Master’s degree,Mathematics or statistics,Student,I am a student,15-20,"0-10,000",5000
16976,Male,25-29,Asia,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Manufacturing/Fabrication,2-3,"40-50,000",45000
16978,Male,30-34,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Accounting/Finance,2-3,"30-40,000",35000
16980,Female,22-24,USA,Bachelor’s degree,Mathematics or statistics,Student,I am a student,1-2,"20-30,000",25000
16982,Male,25-29,China,Master’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,3-4,"10-20,000",15000
16984,Female,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Other,Academics/Education,1-2,"10-20,000",15000
16985,Male,40-44,Other,Bachelor’s degree,Mathematics or statistics,Software Engineer,Computers/Technology,10-15,"40-50,000",45000
16986,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Other,Other,0-1,"0-10,000",5000
16987,Female,60-69,USA,Master’s degree,Mathematics or statistics,Data Analyst,Academics/Education,30 +,"80-90,000",85000
16988,Male,35-39,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"10-20,000",15000
16990,Male,30-34,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,10-15,"10-20,000",15000
16991,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,2-3,"10-20,000",15000
16994,Male,22-24,North America,Bachelor’s degree,Engineering (non-computer focused),Data Analyst,Accounting/Finance,1-2,"40-50,000",45000
16997,Male,22-24,Asia,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,0-1,"0-10,000",5000
16998,Male,18-21,USA,Bachelor’s degree,Mathematics or statistics,Student,I am a student,10-15,"0-10,000",5000
16999,Female,18-21,USA,Bachelor’s degree,Other,Student,I am a student,15-20,"0-10,000",5000
17001,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"20-30,000",25000
17002,Male,22-24,Europe,Master’s degree,Physics or astronomy,Student,I am a student,5-10,"0-10,000",5000
17003,Male,18-21,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Business Analyst,Academics/Education,0-1,"0-10,000",5000
17006,Male,25-29,USA,Bachelor’s degree,Engineering (non-computer focused),Consultant,Other,5-10,"80-90,000",85000
17009,Male,22-24,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,0-1,"30-40,000",35000
17010,Male,25-29,USA,Master’s degree,Mathematics or statistics,Student,Academics/Education,5-10,"40-50,000",45000
17011,Male,55-59,USA,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Scientist,Computers/Technology,10-15,"150-200,000",175000
17012,Female,45-49,USA,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Broadcasting/Communications,1-2,"100-125,000",112500
17013,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Computers/Technology,2-3,"0-10,000",5000
17014,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Other,2-3,"20-30,000",25000
17016,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
17017,Male,25-29,USA,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,2-3,"0-10,000",5000
17019,Female,30-34,USA,Doctoral degree,"Social sciences (anthropology, psychology, sociology, etc.)",Other,Computers/Technology,0-1,"80-90,000",85000
17021,Male,22-24,China,Master’s degree,Engineering (non-computer focused),Student,I am a student,5-10,"0-10,000",5000
17023,Female,25-29,USA,Master’s degree,Engineering (non-computer focused),Data Engineer,Computers/Technology,0-1,"80-90,000",85000
17024,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"20-30,000",25000
17025,Female,35-39,South America,Doctoral degree,"Computer science (software engineering, etc.)",Consultant,Academics/Education,5-10,"20-30,000",25000
17026,Male,40-44,Other,Bachelor’s degree,Other,Student,Military/Security/Defense,0-1,"0-10,000",5000
17028,Male,25-29,North America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"80-90,000",85000
17032,Male,22-24,North America,Professional degree,Engineering (non-computer focused),Business Analyst,Computers/Technology,1-2,"50-60,000",55000
17036,Male,45-49,dna,Doctoral degree,Engineering (non-computer focused),Research Scientist,I am a student,2-3,"0-10,000",5000
17039,Male,40-44,Europe,Doctoral degree,Mathematics or statistics,Manager,Computers/Technology,1-2,"100-125,000",112500
17040,Female,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"0-10,000",5000
17041,Male,55-59,USA,Master’s degree,Mathematics or statistics,Software Engineer,Non-profit/Service,5-10,"125-150,000",137500
17042,Male,18-21,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
17044,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Non-profit/Service,3-4,"0-10,000",5000
17045,Male,35-39,North America,Doctoral degree,Mathematics or statistics,Student,I am a student,15-20,"0-10,000",5000
17046,Male,25-29,USA,Bachelor’s degree,Mathematics or statistics,Data Scientist,Accounting/Finance,1-2,"80-90,000",85000
17049,Male,40-44,China,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,5-10,"30-40,000",35000
17050,Male,50-54,Other,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Energy/Mining,30 +,"70-80,000",75000
17052,Male,30-34,South America,No formal education past high school,,Data Scientist,Manufacturing/Fabrication,1-2,"10-20,000",15000
17053,Male,25-29,South America,No formal education past high school,,Software Engineer,Academics/Education,3-4,"30-40,000",35000
17056,Male,30-34,North America,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Consultant,Accounting/Finance,5-10,"100-125,000",112500
17061,Female,25-29,USA,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Government/Public Service,2-3,"90-100,000",95000
17062,Male,30-34,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,15-20,"40-50,000",45000
17064,Male,22-24,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,0-1,"0-10,000",5000
17065,Male,40-44,South America,Master’s degree,Mathematics or statistics,Manager,Academics/Education,10-15,"70-80,000",75000
17072,Male,25-29,North America,Doctoral degree,Engineering (non-computer focused),Research Assistant,I am a student,1-2,"0-10,000",5000
17073,Male,40-44,South America,Bachelor’s degree,Other,Developer Advocate,Computers/Technology,10-15,"10-20,000",15000
17075,Male,30-34,South America,Professional degree,"A business discipline (accounting, economics, finance, etc.)",Business Analyst,Retail/Sales,5-10,"20-30,000",25000
17076,Male,18-21,North America,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Retail/Sales,2-3,"0-10,000",5000
17078,Male,30-34,South America,Bachelor’s degree,"Humanities (history, literature, philosophy, etc.)",Software Engineer,Accounting/Finance,2-3,"20-30,000",25000
17079,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
17081,Male,25-29,Other,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,5-10,"30-40,000",35000
17083,Prefer to self-describe,22-24,North America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,2-3,"60-70,000",65000
17084,Male,30-34,Asia,Bachelor’s degree,"Information technology, networking, or system administration",Data Analyst,Marketing/CRM,5-10,"0-10,000",5000
17086,Male,25-29,India,Master’s degree,Mathematics or statistics,Data Analyst,Retail/Sales,3-4,"10-20,000",15000
17087,Male,25-29,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Developer Advocate,Other,5-10,"10-20,000",15000
17089,Male,30-34,North America,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Scientist,Retail/Sales,1-2,"10-20,000",15000
17090,Male,25-29,North America,Bachelor’s degree,Mathematics or statistics,Consultant,Broadcasting/Communications,5-10,"250-300,000",275000
17093,Female,45-49,North America,Bachelor’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Marketing Analyst,Academics/Education,5-10,"70-80,000",75000
17095,Male,30-34,USA,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Consultant,Other,1-2,"100-125,000",112500
17097,Female,25-29,USA,Master’s degree,Environmental science or geology,Data Scientist,Computers/Technology,10-15,"250-300,000",275000
17099,Male,18-21,South America,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"10-20,000",15000
17100,Female,35-39,India,Doctoral degree,"Computer science (software engineering, etc.)",Other,Academics/Education,10-15,"10-20,000",15000
17101,Male,25-29,USA,Bachelor’s degree,Engineering (non-computer focused),DBA/Database Engineer,Computers/Technology,5-10,"70-80,000",75000
17104,Male,22-24,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,3-4,"0-10,000",5000
17105,Male,35-39,Asia,Doctoral degree,Engineering (non-computer focused),Principal Investigator,Academics/Education,5-10,"100-125,000",112500
17106,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,"0-10,000",5000
17108,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,,"0-10,000",5000
17110,Male,25-29,Asia,Master’s degree,Engineering (non-computer focused),Product/Project Manager,Manufacturing/Fabrication,4-5,"40-50,000",45000
17111,Male,40-44,India,Master’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,5-10,"20-30,000",25000
17114,Male,45-49,USA,Master’s degree,Mathematics or statistics,Software Engineer,Accounting/Finance,5-10,"80-90,000",85000
17116,Male,18-21,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"40-50,000",45000
17119,Female,30-34,USA,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Computers/Technology,1-2,"40-50,000",45000
17125,Male,40-44,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Chief Officer,Accounting/Finance,10-15,"150-200,000",175000
17127,Female,18-21,South America,No formal education past high school,,Data Scientist,Computers/Technology,0-1,"0-10,000",5000
17128,Male,18-21,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Manager,Marketing/CRM,0-1,"20-30,000",25000
17129,Male,45-49,North America,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Other,Government/Public Service,10-15,"70-80,000",75000
17133,Male,25-29,India,Professional degree,Engineering (non-computer focused),Consultant,Medical/Pharmaceutical,2-3,"20-30,000",25000
17134,Male,40-44,Other,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Other,5-10,"0-10,000",5000
17135,Male,40-44,Europe,No formal education past high school,,Software Engineer,Computers/Technology,15-20,"70-80,000",75000
17136,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Business Analyst,Online Business/Internet-based Sales,3-4,"10-20,000",15000
17138,Male,35-39,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,10-15,"30-40,000",35000
17139,Male,35-39,South America,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Accounting/Finance,4-5,"10-20,000",15000
17140,Male,22-24,USA,Master’s degree,Engineering (non-computer focused),Student,Academics/Education,0-1,"20-30,000",25000
17142,Female,22-24,China,Master’s degree,Mathematics or statistics,Student,I am a student,0-1,"0-10,000",5000
17143,Male,25-29,USA,Master’s degree,Mathematics or statistics,Statistician,Medical/Pharmaceutical,1-2,"50-60,000",55000
17144,Male,22-24,Asia,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,0-1,"0-10,000",5000
17145,Male,25-29,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Broadcasting/Communications,1-2,"0-10,000",5000
17148,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,3-4,"0-10,000",5000
17149,Male,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Medical/Pharmaceutical,1-2,"40-50,000",45000
17150,Male,35-39,USA,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Medical/Pharmaceutical,5-10,"150-200,000",175000
17151,Male,40-44,USA,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Hospitality/Entertainment/Sports,5-10,"150-200,000",175000
17152,Female,25-29,Oceania,Bachelor’s degree,Other,Data Analyst,Online Service/Internet-based Services,3-4,"50-60,000",55000
17157,Male,25-29,USA,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Accounting/Finance,1-2,"70-80,000",75000
